csv,epc,type,rssi
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381890,max,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,count,2.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,mean,-64.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,std,1.0606601717798212
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,min,-65.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,25%,-64.625
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,50%,-64.25
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,75%,-63.875
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010349013305354381891,max,-63.5
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010449013305354211892,count,1.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010449013305354211892,mean,-61.0
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010449013305354211892,std,
20180216171141206-5-2.07471-07472-07473-07474-07475_2412-3008-3314.csv,0x107010449013305354211892,min,-61.0
